# GameTank palette for tools/png_to_sheet --palette : RRGGBB HH (hex RGB -> GameTank byte)
# draw with gametank.gpl, then convert with this. Make transparent areas alpha 0.
001d50 B0
00216d B8
002719 D0
002800 F0
002f1a D8
003000 F8
003782 B9
004531 D9
004700 F9
015c47 DA
033d31 D1
042017 C8
081c33 A8
0a2200 E8
0f3e00 F1
103467 B1
154e9a BA
155e00 FA
17725d DB
1a1266 90
1a1640 88
1a1a19 E0
1a1a1a 00
1a1e00 08
1a2200 10
1a2600 18
1a362f C9
1a5447 D2
1b0f8f 98
1b1b1b 20
1f334a A9
213813 E9
274b7e B2
275612 F2
2b1235 68
2c1900 28
2c64b0 BB
2c750b FB
2d8873 DC
2f6b5d D3
303030 E1
31297d 91
312d57 89
313131 01
31350a 09
313900 11
313d00 19
314d47 CA
32141b 48
3225a6 99
323232 41
364a60 AA
374f2b EA
3b6294 B3
3b6d26 F3
3c1600 30
3d0b51 70
41294d 69
417ac6 BC
418a21 FC
422f15 29
45a08b DD
46645d CB
468173 D4
474747 02
474b21 0A
474f00 12
480c19 50
482a31 49
483cbe 9A
483f93 92
48446e 8A
484848 22
485400 1A
4c1500 38
4c6078 AB
4c6540 EB
4e046d 78
5278aa B4
532d00 31
53833d F4
552169 71
574060 6A
58462d 2A
58a239 FD
5a92de BD
5cb6a2 DE
5d5d5d 03
5d5d5e E3
5d650e 13
5d6a00 1B
5d998b D5
5e4047 4A
5e56ac 93
5e5a84 8B
5e5e5e 23
5e6135 0B
5e7a74 CC
5f52d4 9B
602330 51
61061b 58
62778e AC
632a00 39
637b57 EC
651a83 79
69430f 32
6a387f 72
6a90c2 B5
6a9a56 F5
6e557c 6B
705c41 2B
70a8f4 BE
70b94f FE
727b24 14
72cdb8 DF
737373 C4
73afa2 D6
7468eb 9C
746cc1 94
747473 44
747474 04
748000 1C
75719b 8C
757575 24
75784d 0C
75928c CD
76575e 4B
773a47 52
781d31 59
7a8da5 AD
7a936d ED
7b4100 3A
7c309a 7A
805924 33
80a6d9 B6
80b16b F6
824e96 73
846c91 6C
85d066 FF
867259 2C
87c0ff BF
89c6b8 D7
8aa89f CE
8b8b8a 05
8b8b8b 45
8b933d 15
8c6e74 4C
8c80ff 9D
8c84da 95
8c88b2 8D
8c8c8c 25
8c8f65 0D
8c9814 1D
8e3348 5A
8f505e 53
90a4bb AE
91a982 EE
925909 3B
9348b2 7B
96703b 34
96bdf0 B7
97c782 F7
9965ac 74
9b83a8 6D
9e896f 2D
a1a1a1 06
a1bfb6 CF
a296ff 9E
a29af0 96
a29ec8 8E
a2a2a2 26
a2a57c 0E
a2aa52 16
a2ae29 1E
a36674 54
a3858c 4D
a64a5e 5B
a76e1e 3C
a7bcd2 AF
a8c099 EF
a95ec8 7C
ae8752 35
b07cc3 75
b299be 6E
b49f86 2E
b8b8b8 A7
b8b9b9 C7
b99ba2 4E
b9adff 9F
b9b1ff 97
b9b5df 8F
b9b9b9 07
b9bd93 0F
b9c269 17
b9c541 1F
bb7d8b 55
bc5f74 5C
bf8635 3D
c074de 7D
c49e68 36
c792db 76
c8b0d6 6F
cbb79f 2F
d1b3ba 4F
d294a2 56
d3778c 5D
d68af5 7E
d69b4b 3E
dcb57f 37
dda9f1 77
ea8ca2 5E
eaacb9 57
eda2ff 7F
edb262 3F
ffa5ba 5F
